iter	Passed	Remaining
0	19	9745
1	38	9554
2	71	11895
3	100	12421
4	132	13094
5	161	13264
6	190	13388
7	230	14152
8	249	13604
9	282	13848
10	305	13570
11	338	13749
12	355	13316
13	373	12975
14	402	13014
15	420	12709
16	433	12328
17	468	12543
18	490	12413
19	503	12084
20	522	11910
21	546	11877
22	568	11795
23	586	11630
24	599	11396
25	627	11442
26	659	11559
27	687	11590
28	705	11453
29	723	11333
30	746	11292
31	780	11420
32	795	11255
33	832	11414
34	862	11454
35	890	11479
36	911	11400
37	929	11296
38	963	11389
39	986	11347
40	1009	11304
41	1042	11363
42	1056	11233
43	1081	11207
44	1104	11169
45	1123	11085
46	1141	11006
47	1159	10920
48	1187	10928
49	1206	10860
50	1232	10849
51	1266	10909
52	1291	10888
53	1326	10959
54	1350	10925
55	1374	10897
56	1394	10835
57	1413	10769
58	1441	10774
59	1477	10837
60	1497	10774
61	1511	10676
62	1529	10608
63	1556	10603
64	1579	10569
65	1607	10572
66	1636	10574
67	1658	10536
68	1690	10558
69	1715	10539
70	1743	10536
71	1776	10562
72	1810	10590
73	1829	10530
74	1851	10493
75	1867	10419
76	1896	10416
77	1919	10384
78	1947	10379
79	1966	10321
80	1987	10280
81	2005	10222
82	2025	10174
83	2060	10204
84	2082	10169
85	2101	10114
86	2135	10137
87	2153	10080
88	2171	10026
89	2198	10016
90	2232	10031
91	2265	10046
92	2278	9972
93	2306	9962
94	2328	9927
95	2346	9872
96	2373	9861
97	2387	9792
98	2410	9763
99	2437	9751
100	2455	9700
101	2469	9634
102	2491	9602
103	2509	9555
104	2547	9583
105	2570	9553
106	2584	9491
107	2606	9461
108	2629	9431
109	2656	9417
110	2737	9592
111	2812	9742
112	2848	9756
113	2887	9776
114	2933	9822
115	2987	9888
116	3012	9862
117	3047	9864
118	3071	9832
119	3085	9771
120	3109	9741
121	3142	9737
122	3170	9718
123	3208	9729
124	3236	9710
125	3270	9706
126	3294	9675
127	3345	9722
128	3384	9734
129	3409	9705
130	3428	9657
131	3457	9638
132	3491	9634
133	3519	9612
134	3547	9592
135	3561	9532
136	3584	9497
137	3611	9474
138	3657	9498
139	3687	9481
140	3725	9485
141	3753	9462
142	3776	9427
143	3804	9405
144	3828	9372
145	3846	9327
146	3871	9296
147	3899	9274
148	3949	9303
149	3976	9277
150	4010	9269
151	4056	9286
152	4075	9242
153	4099	9211
154	4136	9206
155	4159	9173
156	4192	9159
157	4211	9115
158	4244	9102
159	4262	9057
160	4286	9025
161	4310	8992
162	4340	8974
163	4372	8959
164	4404	8942
165	4452	8958
166	4498	8969
167	4533	8960
168	4567	8945
169	4590	8910
170	4618	8885
171	4650	8869
172	4684	8854
173	4713	8830
174	4743	8809
175	4766	8775
176	4800	8759
177	4830	8738
178	4879	8751
179	4925	8756
180	4969	8758
181	4990	8720
182	5032	8717
183	5058	8686
184	5086	8660
185	5114	8633
186	5146	8614
187	5180	8597
188	5203	8563
189	5231	8535
190	5263	8515
191	5292	8489
192	5323	8467
193	5350	8438
194	5372	8403
195	5399	8375
196	5424	8343
197	5456	8322
198	5499	8318
199	5515	8273
200	5548	8253
201	5567	8213
202	5599	8192
203	5632	8173
204	5660	8145
205	5694	8126
206	5729	8110
207	5757	8081
208	5790	8061
209	5818	8034
210	5850	8012
211	5878	7985
212	5910	7964
213	5933	7930
214	5947	7884
215	5969	7849
216	5992	7814
217	6010	7774
218	6032	7740
219	6055	7707
220	6079	7675
221	6112	7654
222	6135	7620
223	6168	7600
224	6186	7561
225	6215	7535
226	6248	7514
227	6282	7494
228	6310	7467
229	6333	7435
230	6357	7403
231	6396	7388
232	6428	7366
233	6474	7359
234	6511	7342
235	6534	7309
236	6567	7288
237	6596	7261
238	6629	7239
239	6659	7214
240	6686	7185
241	6719	7164
242	6744	7133
